"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1442",2019-09-20,"003160","디아이","-",3440,"363","9.48","4,303","0.8",50,1.45,1442,NA
"1443",2019-09-20,"003200","일신방직","-",80200,"9,206","8.71","293,527","0.27",2000,2.49,1443,NA
"1444",2019-09-20,"003230","삼양식품","-",79600,"4,623","17.22","30,652","2.6",400,0.5,1444,NA
"1445",2019-09-20,"003350","한국화장품제조","-",27550,"915","30.11","11,096","2.48",100,0.36,1445,NA
"1446",2019-09-20,"003465","유화증권우","-",13100,"-","-","-","-",800,6.11,1446,NA
"1447",2019-09-20,"003475","유안타증권우","-",2050,"-","-","-","-",0,0,1447,NA
"1448",2019-09-20,"003480","한진중공업홀딩스","-",2945,"346","8.51","11,523","0.26",0,0,1448,NA
"1449",2019-09-20,"003545","대신증권우","-",9350,"-","-","-","-",670,7.17,1449,NA
"1450",2019-09-20,"003547","대신증권2우B","-",8700,"-","-","-","-",620,7.13,1450,NA
"1451",2019-09-20,"003555","LG우","-",47000,"-","-","-","-",2050,4.36,1451,NA
"1452",2019-09-20,"003560","IHQ","-",1930,"-","-","1,387","1.39",104,5.39,1452,NA
"1453",2019-09-20,"003650","미창석유","-",79500,"6,593","12.06","143,739","0.55",1600,2.01,1453,NA
"1454",2019-09-20,"003720","삼영화학","-",1070,"-","-","1,349","0.79",0,0,1454,NA
"1455",2019-09-20,"003830","대한화섬","-",96700,"39,390","2.45","375,351","0.26",750,0.78,1455,NA
"1456",2019-09-20,"003925","남양유업우","-",179500,"-","-","-","-",1050,0.58,1456,NA
"1457",2019-09-20,"004090","한국석유","-",119000,"7,011","16.97","225,790","0.53",1500,1.26,1457,NA
"1458",2019-09-20,"004105","태양금속우","-",3095,"-","-","-","-",10,0.32,1458,NA
"1459",2019-09-20,"004140","동방","-",1850,"461","4.01","3,137","0.59",10,0.54,1459,NA
"1460",2019-09-20,"004250","NPC","-",4080,"282","14.47","6,215","0.66",95,2.33,1460,NA
"1461",2019-09-20,"004255","NPC우","-",2330,"-","-","-","-",100,4.29,1461,NA
"1462",2019-09-20,"004360","세방","-",12350,"1,908","6.47","35,378","0.35",175,1.42,1462,NA
"1463",2019-09-20,"004365","세방우","-",6800,"-","-","-","-",180,2.65,1463,NA
"1464",2019-09-20,"004380","삼익THK","-",12800,"875","14.63","8,955","1.43",300,2.34,1464,NA
"1465",2019-09-20,"004410","서울식품","-",194,"2","97","81","2.4",0,0,1465,NA
"1466",2019-09-20,"004415","서울식품우","-",3835,"-","-","-","-",0,0,1466,NA
"1467",2019-09-20,"004440","대림씨엔에스","-",7750,"-","-","21,717","0.36",0,0,1467,NA
"1468",2019-09-20,"004560","현대비앤지스틸","-",9220,"1,280","7.2","25,152","0.37",100,1.08,1468,NA
"1469",2019-09-20,"004690","삼천리","-",86800,"8,995","9.65","310,160","0.28",3000,3.46,1469,NA
"1470",2019-09-20,"004700","조광피혁","-",36650,"3,799","9.65","35,688","1.03",0,0,1470,NA
"1471",2019-09-20,"004720","우리들제약","-",6220,"390","15.95","4,904","1.27",0,0,1471,NA
"1472",2019-09-20,"004830","덕성","-",3460,"-","-","3,681","0.94",20,0.58,1472,NA
"1473",2019-09-20,"004835","덕성우","-",4010,"-","-","-","-",25,0.62,1473,NA
